"","state","overall_homeless","overall_chronically_homeless","sheltered_total_chronically_homeless","year"
"356","WY","873","68","26","2017"
"357","Total","550996","95092","32609","2017"
"358","AK","1940","122","94","2016"
"359","AL","4111","420","172","2016"
"360","AR","2463","503","226","2016"
"361","AZ","9707","1395","468","2016"
"362","CA","118142","31548","4478","2016"
"363","CO","10550","1829","949","2016"
"364","CT","3902","467","282","2016"
"365","DE","1070","74","72","2016"
"366","FL","33559","5895","1402","2016"
"367","GA","12909","1815","470","2016"
"368","HI","7921","1949","137","2016"
"369","IA","3064","184","137","2016"
"370","ID","2247","337","160","2016"
"371","IL","11590","1024","620","2016"
"372","IN","5798","589","374","2016"
"373","KS","2255","362","254","2016"
"374","KY","4237","382","235","2016"
"375","LA","3994","570","167","2016"
"376","MA","19608","2325","2074","2016"
"377","MD","7689","1364","844","2016"
"378","ME","2241","217","174","2016"
"379","MI","9316","776","579","2016"
"380","MN","7341","873","718","2016"
"381","MO","6194","1136","765","2016"
"382","MS","1738","183","28","2016"
"383","MT","1418","137","26","2016"
"384","NC","9559","1184","638","2016"
"385","ND","923","120","41","2016"
"386","NE","2754","233","196","2016"
"387","NH","1366","281","216","2016"
"388","NJ","8895","822","399","2016"
"389","NM","2263","649","378","2016"
"390","NV","7398","347","62","2016"
"391","NY","86352","5368","3299","2016"
"392","OH","10404","778","439","2016"
"393","OK","4107","696","405","2016"
"394","OR","13238","3460","554","2016"
"395","PA","15339","1325","787","2016"
"396","RI","1160","144","141","2016"
"397","SC","5051","988","448","2016"
"398","SD","1072","44","37","2016"
"399","TN","8779","1782","694","2016"
"400","TX","23122","3689","1637","2016"
"401","UT","2807","190","180","2016"
"402","VA","6268","793","568","2016"
"403","VT","1117","127","81","2016"
"404","WA","20827","2567","981","2016"
"405","WI","5685","363","296","2016"
"406","WV","1387","165","117","2016"
"407","WY","857","91","33","2016"
"408","Total","549928","86132","30108","2016"
"409","AK","1956","222","81","2015"
"410","AL","3970","607","168","2015"
"411","AR","2560","623","319","2015"
"412","AZ","9896","1366","344","2015"
"413","CA","115738","32227","5077","2015"
"414","CO","9953","1877","882","2015"
"415","CT","4047","583","278","2015"
"416","DE","953","80","75","2015"
"417","FL","35900","6540","1383","2015"
"418","GA","13790","2137","622","2015"
"419","HI","7620","1534","180","2015"
"420","IA","3081","275","221","2015"
"421","ID","1966","245","112","2015"
"422","IL","13177","1912","994","2015"
"423","IN","5863","703","529","2015"
"424","KS","2588","379","245","2015"
"425","KY","4538","457","413","2015"
"426","LA","4081","773","287","2015"
"427","MA","21135","2561","2320","2015"
"428","MD","8390","1847","1016","2015"
"429","ME","2372","217","203","2015"
"430","MI","10516","935","621","2015"
"431","MN","7546","1396","1054","2015"
"432","MO","6482","1025","652","2015"
"433","MS","1983","243","67","2015"
"434","MT","1709","166","26","2015"
"435","NC","10685","1364","682","2015"
"436","ND","1305","138","68","2015"
"437","NE","2744","322","266","2015"
"438","NH","1445","317","260","2015"
"439","NJ","10098","1410","972","2015"
"440","NM","2629","716","445","2015"
"441","NV","8743","594","117","2015"
"442","NY","88250","7116","4733","2015"
"443","OH","11182","1275","887","2015"
"444","OK","3777","581","342","2015"
"445","OR","13226","4011","1008","2015"
"446","PA","15421","1590","1040","2015"
"447","RI","1111","130","118","2015"
"448","SC","5354","1020","525","2015"
"449","SD","1036","95","67","2015"
"450","TN","9123","1650","702","2015"
"451","TX","23678","4304","1915","2015"
"452","UT","3025","233","215","2015"
"453","VA","7001","1158","789","2015"
"454","VT","1523","166","111","2015"
"455","WA","19419","2482","1027","2015"
"456","WI","6057","464","377","2015"
"457","WV","1835","386","226","2015"
"458","WY","798","102","37","2015"
"459","Total","564708","96275","36767","2015"
"460","AK","1784","206","137","2014"
"461","AL","4561","729","283","2014"
"462","AR","2936","519","85","2014"
"463","AZ","10495","959","316","2014"
"464","CA","113952","31078","5131","2014"
"465","CO","10028","1621","747","2014"
"466","CT","4450","1215","847","2014"
"467","DE","901","91","82","2014"
"468","FL","41542","7989","1903","2014"
"469","GA","16521","3004","945","2014"
"470","HI","6918","1301","199","2014"
"471","IA","3122","244","154","2014"
"472","ID","2104","244","105","2014"
"473","IL","13107","1488","1010","2014"
"474","IN","5971","596","485","2014"
"475","KS","2783","320","212","2014"
"476","KY","5089","727","499","2014"
"477","LA","4606","776","262","2014"
"478","MA","21237","3311","3006","2014"
"479","MD","7856","1740","1135","2014"
"480","ME","2726","244","218","2014"
"481","MI","12227","1293","825","2014"
"482","MN","8377","1235","889","2014"
"483","MO","7282","997","714","2014"
"484","MS","2226","282","79","2014"
"485","MT","1745","270","77","2014"
"486","NC","11491","1431","720","2014"
"487","ND","1258","115","101","2014"
"488","NE","3026","426","397","2014"
"489","NH","1376","338","286","2014"
"490","NJ","11671","1399","1007","2014"
"491","NM","2746","709","490","2014"
"492","NV","8582","705","104","2014"
"493","NY","80590","7212","4783","2014"
"494","OH","11823","1481","1009","2014"
"495","OK","4191","671","416","2014"
"496","OR","12164","2695","577","2014"
"497","PA","15333","1607","1134","2014"
"498","RI","1190","204","198","2014"
"499","SC","5057","273","100","2014"
"500","SD","885","118","92","2014"
"501","TN","9415","2195","1364","2014"
"502","TX","28495","5416","2231","2014"
"503","UT","3081","422","380","2014"
"504","VA","7020","1021","730","2014"
"505","VT","1559","283","228","2014"
"506","WA","18442","2535","1129","2014"
"507","WI","6055","524","447","2014"
"508","WV","2013","482","304","2014"
"509","WY","757","144","104","2014"
"510","Total","576450","99132","40565","2014"
"511","AK","1946","184","138","2013"
"512","AL","4689","858","295","2013"
"513","AR","3812","602","171","2013"
"514","AZ","10562","1188","520","2013"
"515","CA","118552","33112","5251","2013"
"516","CO","9754","1780","846","2013"
"517","CT","4448","1046","678","2013"
"518","DE","946","71","68","2013"
"519","FL","47862","9647","1873","2013"
"520","GA","16971","3082","936","2013"
"521","HI","6335","1180","273","2013"
"522","IA","3084","327","258","2013"
"523","ID","1781","271","165","2013"
"524","IL","13425","1574","980","2013"
"525","IN","6096","580","409","2013"
"526","KS","2693","356","249","2013"
"527","KY","5245","541","268","2013"
"528","LA","5226","1115","245","2013"
"529","MA","19029","2115","1715","2013"
"530","MD","8205","1480","862","2013"
"531","ME","3016","176","176","2013"
"532","MI","11527","1106","666","2013"
"533","MN","8214","1350","1001","2013"
"534","MO","8581","1037","601","2013"
"535","MS","2403","475","68","2013"
"536","MT","1878","227","65","2013"
"537","NC","12168","1842","802","2013"
"538","ND","2069","179","68","2013"
"539","NE","3145","414","342","2013"
"540","NH","1447","255","135","2013"
"541","NJ","12002","1237","847","2013"
"542","NM","2819","525","306","2013"
"543","NV","7039","724","377","2013"
"544","NY","77430","6317","3885","2013"
"545","OH","12325","1753","1207","2013"
"546","OK","4408","719","330","2013"
"547","OR","13822","3043","723","2013"
"548","PA","15086","1681","1010","2013"
"549","RI","1384","251","198","2013"
"550","SC","6544","483","143","2013"
"551","SD","1094","217","71","2013"
"552","TN","9528","2219","1162","2013"
"553","TX","29615","5535","2168","2013"
"554","UT","3277","454","349","2013"
"555","VA","7625","1356","875","2013"
"556","VT","1454","217","140","2013"
"557","WA","17760","2196","1076","2013"
"558","WI","6104","521","383","2013"
"559","WV","2240","432","250","2013"
"560","WY","953","244","116","2013"
"561","Total","590364","102828","37568","2013"
"562","AK","1913","279","263","2012"
"563","AL","5209","969","353","2012"
"564","AR","4214","437","171","2012"
"565","AZ","11302","1895","615","2012"
"566","CA","120098","33356","5458","2012"
"567","CO","16768","1943","784","2012"
"568","CT","4209","944","614","2012"
"569","DE","1008","100","89","2012"
"570","FL","55170","10054","2406","2012"
"571","GA","20516","3843","1426","2012"
"572","HI","6246","949","146","2012"
"573","IA","2928","307","218","2012"
"574","ID","1968","252","111","2012"
"575","IL","14144","2206","1144","2012"
"576","IN","6259","545","369","2012"
"577","KS","2684","371","275","2012"
"578","KY","5230","629","423","2012"
"579","LA","7772","2893","352","2012"
"580","MA","17501","2055","1723","2012"
"581","MD","9454","1407","559","2012"
"582","ME","2393","233","231","2012"
"583","MI","12592","1370","843","2012"
"584","MN","7744","1718","1346","2012"
"585","MO","10237","1632","1028","2012"
"586","MS","2413","501","67","2012"
"587","MT","1833","388","213","2012"
"588","NC","13524","1621","702","2012"
"589","ND","688","86","78","2012"
"590","NE","3789","501","333","2012"
"591","NH","1496","274","180","2012"
"592","NJ","13025","1026","717","2012"
"593","NM","3245","1072","613","2012"
"594","NV","8497","1725","599","2012"
"595","NY","69566","4897","2461","2012"
"596","OH","13977","1982","1367","2012"
"597","OK","5032","569","287","2012"
"598","OR","15828","3302","754","2012"
"599","PA","14736","2106","1121","2012"
"600","RI","1277","154","154","2012"
